collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,C,Java,Ruby,Assembly,C++,JavaScript,ActionScript,HTML,CSS,TSQL,Objective-C,Other,OCaml,Shell,TypeScript,Dockerfile,Go,Lex,Groovy,ANTLR,Batchfile,CoffeeScript,Tcl,Makefile,CMake,Python,PHP,Gherkin,Vim Snippet,Puppet,C#,Yacc,Vue,Swift,Roff,PowerShell,OpenSCAD,MATLAB,FreeMarker,PLpgSQL,Fortran,Csound,M,GLSL,Verilog,Lua,Perl,Awk,TeX,XSLT,Jupyter Notebook,R,Gnuplot,GAP,Scilab,Emacs Lisp,Objective-C++,Vim script,CWeb,YASnippet,Clojure,Inno Setup,Reason,Common Lisp,Rust,Starlark,Cuda,PureBasic,Scala
Social Impact,terrastories,Terrastories,101,80,11,,605,53,0,1,50,51.0,154.0,14,218,,,59.0,,,16.0,,12.0,7.0,,,,,2.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,diaper,rubyforgood,173,202,37,,2494,28,0,13,149,26.0,654.0,9,1007,,,41.0,,,7.0,,18.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,playtime,rubyforgood,39,50,9,,429,8,0,0,30,18.0,63.0,9,117,,,83.0,,,0.0,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,demand-progress,rubyforgood,11,6,5,,84,7,0,0,8,5.0,12.0,0,24,,,48.0,,,44.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,ghgvc,ebimodeling,14,11,12,,505,10,0,2,13,12.0,97.0,8,24,,,45.0,,,18.0,,32.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,rescuekerala,raksha-life,648,597,73,,1308,28,0,0,107,116.0,408.0,60,536,,,,,,1.0,,33.0,1.0,,,0.0,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,ethics-resources,Data4Democracy,83,27,63,,87,12,0,0,22,5.0,4.0,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,civicdata.github.io,civicdata,24,28,6,,207,47,0,0,25,7.0,29.0,2,98,,,3.0,,,,,69.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,Development-Overview,Greenstand,50,13,9,,132,1,0,0,7,34.0,62.0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,gnuradio,gnuradio,2207,1238,215,,13751,8,0,121,234,412.0,716.0,57,2355,0.0,,,,62.0,,,,,,0.0,0.0,,,,,,,,,,,,,3.0,31.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Defined Radio,volk,gnuradio,207,119,43,,1402,4,0,18,56,15.0,126.0,7,233,2.0,,,1.0,88.0,,,,,,,,,0.0,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
