collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,Rust,Python,JavaScript,C++,Makefile,Shell,Other,TypeScript,HTML,CSS,Ruby,Roff,Swift,Dockerfile,CoffeeScript,Java,GAP,CMake,Go,Emacs Lisp,Vim script,Haskell,Batchfile,PowerShell,Perl,R,Jupyter Notebook,Scala,PostScript,PHP,ActionScript,QML,Objective-C,CartoCSS,C,Objective-C++,Clojure,Erlang,SuperCollider,Gherkin,Vue,PLpgSQL,TSQL,Lua,Groovy,Puppet,C#,Tcl,SaltStack,NSIS,Rich Text Format,Starlark,M,Jsonnet,Hack,GLSL,Kotlin,AppleScript,HLSL,Assembly,xBase,OpenEdge ABL,LilyPond,HiveQL,MLIR,Cuda,XSLT,IDL,Smarty,ASP,VCL,TeX
GitHub Pages examples,square.github.io,square,694,185.0,79,,133,3,0,0,34,,,0,57,,2.0,,,,,,,45.0,49.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,ibm.github.io,IBM,861,230.0,135,,276,1,0,0,50,0.0,28.0,0,119,,,77.0,,,,,,3.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,twitter.github.io,twitter,1401,492.0,470,,696,3,0,0,20,2.0,22.0,7,32,,7.0,12.0,,,0.0,,,21.0,57.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,netflix.github.com,Netflix,795,328.0,527,,394,11,0,0,48,9.0,8.0,12,109,,,34.0,,,,,,51.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,yelp.github.io,Yelp,428,91.0,49,,102,4,0,0,8,0.0,2.0,3,25,,,98.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,react,facebook,149874,29164.0,6700,,13301,73,0,131,1388,502.0,8716.0,111,9539,,,95.0,0.0,,,0.0,0.0,2.0,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,artsy.github.io,artsy,669,196.0,124,,1647,79,0,0,79,59.0,71.0,8,475,,,1.0,,,,,,9.0,81.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,dockercraft,docker,5860,340.0,226,,208,1,0,0,13,15.0,24.0,1,48,,,,,1.0,0.0,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,hubot-minecraft,minefold,107,11.0,13,,3,1,0,0,1,1.0,0.0,0,0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,hubot-minecraft-skin,leereilly,69,6.0,2,,6,1,0,0,2,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,Minecraft-Overviewer,overviewer,2323,370.0,113,,2830,22,0,26,126,222.0,1076.0,14,470,,71.0,3.0,,0.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,cuberite,cuberite,3149,518.0,180,,10853,55,0,5,149,473.0,1839.0,33,2403,,,,80.0,0.0,0.0,0.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,PocketMine-MP,pmmp,1915,1168.0,236,,9451,23,0,177,112,192.0,1869.0,25,836,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,msm,msmhq,940,220.0,94,,603,2,0,72,27,97.0,196.0,19,81,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,Essentials,essentials,663,1201.0,90,,4328,6,0,42,66,,,8,786,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,Botania,Vazkii,738,324.0,99,,6921,7,0,47,140,55.0,2590.0,0,671,,,0.0,,,,,,,0.0,,,,,,98.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
Hacking Minecraft,OpenComputers,MightyPirates,953,291.0,98,,5101,25,0,112,122,197.0,2454.0,14,633,,,,,,,0.0,,,,,,,,,14.0,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,mineflayer,PrismarineJS,1080,240.0,50,,1998,2,0,93,61,92.0,629.0,1,302,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,WorldEdit,EngineHub,1537,652.0,109,,3358,43,0,106,84,53.0,823.0,9,470,,,,,,,0.0,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Hacking Minecraft,BungeeCord,SpigotMC,866,890.0,113,,1677,5,0,6,104,124.0,2078.0,63,573,,,,,,,0.0,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,ScriptCraft,walterhiggins,1458,367.0,102,,912,3,0,32,43,62.0,255.0,9,112,,,97.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,MinecraftForge,MinecraftForge,3883,1808.0,399,,7349,24,0,56,344,78.0,3167.0,49,3419,,,,,,,0.0,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,TrueCraft,ddevault,1969,258.0,149,,818,3,0,0,23,48.0,100.0,1,134,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,MachineMusePowersuits,MachineMuse,182,93.0,42,,1360,13,0,0,30,101.0,745.0,0,124,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,Galacticraft,micdoodle8,459,289.0,84,,7825,11,0,0,105,205.0,2846.0,11,922,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,Bukkit,Bukkit,1968,1071.0,194,,1509,1,0,67,106,,,62,1036,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Minecraft,Glowstone,GlowstoneMC,1182,230.0,89,,3372,37,0,26,116,55.0,348.0,14,682,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
